,losses,losses_avg
0,4907.15576171875,4907.15576171875
1,8434.126953125,6670.641357421875
2,1315.1492919921875,4885.4773356119795
3,4642.21728515625,4824.662322998047
4,2012.046875,4262.139233398438
5,1624.4794921875,3822.5292765299478
6,3767.407470703125,3814.6547328404017
7,1220.8599853515625,3490.430389404297
8,1628.8353271484375,3283.5864935980903
9,4234.34033203125,3378.6618774414064
10,952.309814453125,3158.0844171697445
11,491.0259704589844,2935.829546610514
12,1869.8408203125,2853.8304138183594
13,1654.3609619140625,2768.1540243966238
14,2249.39990234375,2733.570416259766
15,927.1753540039062,2620.6707248687744
16,433.8573913574219,2492.03464642693
17,2720.624267578125,2504.7340698242188
18,510.4555969238281,2399.7720449347244
19,631.1611328125,2311.3414993286133
20,2317.5341796875,2311.6363888695128
21,495.5685119628906,2229.087849010121
22,512.565673828125,2154.4564500891643
23,143.68077087402344,2070.6741301218667
24,2029.3739013671875,2069.0221209716797
25,2139.109619140625,2071.7177939781777
26,563.48291015625,2015.8572427255135
27,1298.797607421875,1990.247970036098
28,411.0965576171875,1935.7944730561355
29,398.8260192871094,1884.5621912638346
30,1082.0224609375,1858.673812866211
31,1577.4095458984375,1849.884304523468
32,1298.483642578125,1833.1751935554273
33,904.6093139648438,1805.8644323909984
34,542.6886596679688,1769.7736960274833
35,1014.268310546875,1748.7874353196885
36,496.4224548339844,1714.9397331443993
37,1483.703125,1708.8545592458624
38,397.0979919433594,1675.2197754688752
39,1606.6016845703125,1673.5043231964112
40,164.8518524169922,1636.7079214700839
41,833.6030883789062,1617.5863778250557
42,725.2454223632812,1596.8342625817588
43,57.324710845947266,1561.8454091332176
44,741.9248657226562,1543.624952612983
45,399.4657287597656,1518.7519260074782
46,1386.55712890625,1515.939270750005
47,1177.6368408203125,1508.8913034598033
48,69.14825439453125,1479.5087922543896
49,665.1522827148438,1463.2216620635986
