,losses,losses_avg
0,177.6927032470703,177.6927032470703
1,12.567887306213379,95.13029527664185
2,452925.0625,151038.44103018442
3,142.26351928710938,113314.3966524601
4,66.79515075683594,90664.87635211945
5,108.15760803222656,75572.08989477158
6,305.5407409667969,64819.72572994232
7,238.8660430908203,56747.118269085884
8,41.72202682495117,50446.51868661245
9,17.475690841674805,45403.61438703537
10,118.26277160644531,41286.76424017819
11,49.823387145996094,37850.352502425514
12,7.872820854187012,34939.392526920026
13,115.17906188964844,32451.948707989282
14,103.07855987548828,30295.3573647817
15,339.78436279296875,28423.134052157402
16,52.74652862548828,26754.28772724376
17,49.11448669433594,25270.66699165768
18,36.01270294189453,23942.527292251587
19,59.237186431884766,22748.362786960603
20,32.70596694946289,21666.66484315055
21,159.6981658935547,20689.075448729775
22,109.0129165649414,19794.290121244347
23,5.990725040435791,18969.77764640252
24,68.54536437988281,18213.728355121613
25,25.498132705688477,17514.181038874845
26,379.96759033203125,16879.58054078067
27,57.37970733642578,16278.787653871945
28,49.16216278076172,15719.145395558457
29,43.9731559753418,15196.63965423902
30,107.24711608886719,14709.885056234176
31,80.60279846191406,14252.719985678792
32,27.0103816986084,13821.637876467272
33,162.0859832763672,13419.88635019695
34,28.143115997314453,13037.265114934104
35,160.0021514892578,12679.563365949525
36,141.3096160888672,12340.691642980319
37,76.18095397949219,12017.941361690822
38,132.5725555419922,11713.188315379313
39,129.30787658691406,11423.591304409503
40,240.54150390625,11150.833992202108
41,200.7157440185547,10890.11689105488
42,115.93997192382812,10639.5546371216
43,119.61700439453125,10400.465145468712
44,254.8191680908203,10175.006345971426
45,88.50827026367188,9955.734648673431
46,8.95800495147705,9744.101103062325
47,20.698286056518555,9541.53021104137
48,196.96334838867188,9350.824764864785
49,118.3085708618164,9166.174440984725
