,losses,losses_avg
0,13378.5947265625,13378.5947265625
1,8309.0146484375,10843.8046875
2,622.3186645507812,7436.642679850261
3,305.1539306640625,5653.770492553711
4,9600.8017578125,6443.176745605469
5,6486.43994140625,6450.387278238933
6,9872.9560546875,6939.325674874442
7,1030.1041259765625,6200.672981262207
8,1038.0859375,5627.052198621962
9,2638.776123046875,5328.224591064453
10,2777.466552734375,5096.33749667081
11,403.5735168457031,4705.273831685384
12,4256.52685546875,4670.754833514874
13,1697.1212158203125,4458.352432250977
14,1933.1083984375,4290.002829996744
15,841.7167358398438,4074.4849491119385
16,3148.855224609375,4020.036141788258
17,4666.63720703125,4055.9584231906465
18,941.7744140625,3892.0540016575865
19,919.7860717773438,3743.440605163574
20,1990.552734375,3659.9697541736423
21,760.9745483398438,3528.19724481756
22,1243.1517333984375,3428.847439973251
23,806.9602661132812,3319.6021410624185
24,2840.2275390625,3300.427156982422
25,591.3352661132812,3196.2313150259165
26,29.351274490356445,3078.9394616727477
27,15.587651252746582,2969.534039872033
28,517.658203125,2884.986597225584
29,863.580810546875,2817.6064043362935
30,245.89910888671875,2734.6481044830816
31,776.187255859375,2673.4462029635906
32,220.2487335205078,2599.10688570774
33,377.2083435058594,2533.756928584155
34,484.6184997558594,2475.210116331918
35,93.25775146484375,2409.044772863388
36,109.07176971435547,2346.8833403458466
37,528.3994140625,2299.0285001804955
38,391.0334777832031,2250.1055508882573
39,377.0145568847656,2203.2782760381697
40,117.1419448852539,2152.396902107611
41,162.34176635742188,2105.0146369707018
42,163.66937255859375,2059.867072682048
43,2155.044189453125,2062.0301889722996
44,460.1883544921875,2026.4337037616306
45,251.40557861328125,1987.846135823623
46,310.4705505371094,1952.1572935834845
47,662.0147705078125,1925.2793243527412
48,65.94195556640625,1887.333663765265
49,988.2391967773438,1869.3517744255066
